,louvain,pseudotime
989,2,0.62729996
990,2,0.62636185
991,1,0.55805224
992,1,0.5948488
993,2,0.6299557
994,1,0.57535547
995,2,0.6141653
996,1,0.57177436
997,1,0.56429166
998,1,0.58770794
999,2,0.63378763
1000,2,0.6191588
1001,1,0.5846586
1002,2,0.9656444
1003,1,0.58411795
1004,2,0.63749164
1005,1,0.5947182
1006,2,0.9810249
1007,1,0.5955144
1008,2,0.6508321
1009,2,0.61600363
1010,2,0.6294867
1011,0,0.5498116
1012,2,0.8514137
1013,1,0.56437176
1014,2,0.6165931
1015,1,0.57060957
1016,2,0.6095295
1017,2,0.9293893
1018,2,0.6235861
1019,2,0.6250983
1020,2,0.62596464
1021,2,0.6289711
1022,2,0.61086595
1023,1,0.5852223
1024,2,0.6238814
1025,2,0.6271141
1026,2,0.61426795
1027,1,0.5783453
1028,2,0.6207223
1029,1,0.6055849
1030,2,0.9282474
1031,2,0.6230912
1032,0,0.51708084
1033,0,0.5532423
1034,1,0.5925109
1035,1,0.5795742
1036,1,0.6113119
1037,2,0.62379754
1038,1,0.58011514
1039,2,0.68409836
1040,1,0.6060653
1041,1,0.5715729
1042,2,0.6342183
1043,1,0.59315777
1044,0,0.5483924
1045,2,0.63261896
1046,1,0.5827375
1047,2,0.6486494
1048,3,0.37242395
1049,2,0.64093065
1050,2,0.91315955
1051,2,0.6177314
1052,1,0.5741495
1053,2,0.6015292
1054,2,0.74282545
1055,2,0.6169224
1056,2,0.65067923
1057,2,0.6341803
1058,2,0.62591654
1059,2,0.931386
1060,2,0.6295274
1061,1,0.5730009
1062,2,0.63951164
1063,2,0.6596902
1064,2,0.62311274
1065,1,0.58687985
1066,2,0.86923295
1067,2,0.62325954
1068,2,0.6301981
1069,2,0.6372478
1070,1,0.5807287
1071,2,0.6246736
1072,2,0.6295521
1073,2,0.62795556
1074,2,0.6232172
1075,2,0.9708393
1076,2,0.6325611
1077,1,0.5830431
1078,2,0.6275507
1079,0,0.5499728
1080,2,0.6255102
1081,1,0.6057646
1082,1,0.5850373
1083,1,0.59611815
1084,1,0.5922321
1085,2,0.6178844
1086,2,0.6263323
1087,2,0.66052645
1088,1,0.5896344
1089,2,0.6452579
1090,2,0.6585767
1091,0,0.5505987
1092,2,0.63098717
1093,2,0.62354296
1094,2,0.6307356
1095,2,0.62135124
1096,1,0.58394307
1097,0,0.53738976
1098,3,0.2938976
1099,0,0.5553973
1100,2,0.8855979
1101,2,0.92957973
1102,1,0.55994874
1103,1,0.5911923
1104,2,0.6190345
1105,1,0.57520205
1106,0,0.5422793
1107,1,0.57460564
1108,2,0.9361615
1109,2,0.62537134
1110,2,0.6277835
1111,1,0.5679489
1112,2,0.9215029
1113,2,0.6292743
1114,2,0.61971897
1115,0,0.54686654
1116,2,0.6390673
1117,2,0.6250944
1118,1,0.5813413
1119,1,0.56965905
1120,2,0.62492347
1121,2,0.649499
1122,2,0.633357
1123,2,0.6259407
1124,2,0.947623
1125,1,0.595775
1126,2,0.62178403
1127,3,0.12175102
1128,2,0.6152913
1129,2,0.6409178
1130,1,0.56014824
1131,1,0.567416
1132,2,0.62792623
1133,2,0.62585515
1134,2,0.6218453
1135,2,0.60436606
1136,1,0.5895253
1137,1,0.57482296
1138,0,0.542645
1139,2,0.98898077
1140,1,0.6084412
1141,2,0.6271065
1142,0,0.55566084
1143,2,0.6196412
1144,2,0.6257666
1145,2,1.0
1146,2,0.6292293
1147,2,0.64288336
1148,2,0.6230368
1149,0,0.56216896
1150,3,0.07725223
1151,2,0.6526164
1152,2,0.6242225
1153,1,0.5825251
1154,2,0.93447673
1155,2,0.62685925
1156,1,0.59871686
1157,1,0.56987315
1158,0,0.54998505
1159,2,0.6033603
1160,1,0.5893438
1161,1,0.5863552
1162,2,0.6104437
1163,2,0.614534
1164,2,0.61961156
1165,2,0.6299819
1166,2,0.64186007
1167,2,0.6364985
1168,2,0.63127285
1169,0,0.5211125
1170,1,0.59299904
